_id,deptId[0],state,role,roleList[0],createTime,lastLoginTime,userId,userName,userPwd,userEmail,job,mobile,__v
65d0cc9b848da6578c813a3d,65d1f9f4f66eb050ec4e4953,2,1,65d0c8d71388403ba81aa295,2024-02-17T15:07:41.178Z,2024-02-17T15:07:41.178Z,10320,员工1,e10adc3949ba59abbe56e057f20f883e,791919140@imooc.com,前端开发,13625463452,0
65d0d056848da6578c813ae5,65d1f9a4f66eb050ec4e493c,1,1,65d0c8b51388403ba81aa28e,2024-02-17T15:07:41.178Z,2026-04-09T12:26:29.390Z,10321,管理员,21232f297a57a5a743894a0e4a801fc3,guanliyuan@imooc.com,,,0
65d1faf7f66eb050ec4e4995,65d1f9adf66eb050ec4e493f,1,1,65d0c8b51388403ba81aa28e,2024-02-18T12:30:57.187Z,2024-02-18T12:30:57.187Z,10322,财务主管,e10adc3949ba59abbe56e057f20f883e,79191923423@imooc.com,,13633456542,0
65d1fb21f66eb050ec4e499e,65d1f9a4f66eb050ec4e493c,1,1,65d0c8b51388403ba81aa28e,2024-02-18T12:30:57.187Z,2024-02-18T12:30:57.187Z,10323,人事主管,e10adc3949ba59abbe56e057f20f883e,791919148@imooc.com,,13563452343,0
65d1fb5bf66eb050ec4e49ae,65d1f9f4f66eb050ec4e4953,1,1,65d0c8b51388403ba81aa28e,2024-02-18T12:30:57.187Z,2024-02-18T12:30:57.187Z,10324,前端研发主管,e10adc3949ba59abbe56e057f20f883e,79191919140@imooc.com,,13645345456,0
65d20865f66eb050ec4e4a33,65d1f9f4f66eb050ec4e4953,2,1,65d0c8b51388403ba81aa28e,2024-02-18T12:30:57.187Z,2024-02-18T12:30:57.187Z,10325,前端研发主管1,e10adc3949ba59abbe56e057f20f883e,79191919140@imooc.com@imooc.com,前端开发,,0
65e5e38754b1e17528a1f78a,65d1f9a4f66eb050ec4e493c,2,1,65d0c8b51388403ba81aa28e,2024-03-04T14:20:56.212Z,2024-03-04T14:20:56.212Z,10328,测试1,e10adc3949ba59abbe56e057f20f883e,413123123213@imooc.com,2,13632344564,0
661241e4e0f63a0e7c5fd359,65d1f9f4f66eb050ec4e4953,3,1,65e710979b90dc340c9d5619,2024-04-07T06:40:36.553Z,2024-04-07T06:40:36.553Z,10329,111,e10adc3949ba59abbe56e057f20f883e,22@imooc.com,2,13534523467,0
66124269e0f63a0e7c5fd386,65d1f9a4f66eb050ec4e493c,2,1,65e710979b90dc340c9d5619,2024-04-07T06:40:36.553Z,2024-04-07T06:40:36.553Z,10330,测试---1,e10adc3949ba59abbe56e057f20f883e,22412@imooc.com,测试,13627635243,0
66177fadbca54a496ca603ca,65d1f9a4f66eb050ec4e493c,2,1,65e710979b90dc340c9d5619,2024-04-11T01:34:23.799Z,2024-04-11T01:34:23.799Z,10331,测试11,e10adc3949ba59abbe56e057f20f883e,123445646@imooc.com,1,,0
66177fd5bca54a496ca603d0,65d1f9a4f66eb050ec4e493c,2,1,65e710979b90dc340c9d5619,2024-04-11T01:34:23.799Z,2024-04-11T06:16:07.818Z,10332,测试22,e10adc3949ba59abbe56e057f20f883e,121313213123@imooc.com,22,,0
661780ebfee08c0b08b240a8,65d1f9f4f66eb050ec4e4953,2,1,65d0c8b51388403ba81aa28e,2024-04-11T06:18:39.203Z,2024-04-11T06:26:46.813Z,10333,测试222,e3ceb5881a0a1fdaad01296d7554868d,79191919140@imooc.com@imooc.com@imooc.com,22,13645345456,0
69d7a6b6c5916689a06511cb,65d1f9f4f66eb050ec4e4953,1,1,65e710979b90dc340c9d5619,2026-04-09T13:16:12.744Z,2026-04-09T13:17:12.666Z,10341,史小雷,e10adc3949ba59abbe56e057f20f883e,7919191422@imooc.com,,,0
